,title,description
10,BK Chicken Fries,"fried, international, be, standard, specific, handle, fit, automotive, expand, sophisticated, present, 24-, 36-year-old, complex, attract, affluent, willing, spend, such, limited, permanent, major, original, legal, nu, intellectual, new, digital-based, multi-media, North, American, heavy, social, help, entice, promote, different, demographic, prominent, few, –, first, global, protect, ==, menu, cater, adult, super, several, other, offer, raise, average, fast, chicken, like, see, reinstate, many, come, comedian, favorable, return, large, third-quarter, massive, primary, positive, utilize, free, interactive, communicate, prefer, due, significant, previous, available, record, all-time, boost, similar, pretzel-style, third, appeal, small, add, prong, stated, introduce, have, impact, former, deliver, limited-time, bring, fortuitous, resounding, domestic, comparable, opposite, same, aggressive, competitive, financial, drive, second, rival, meet, initial, six-, nine-, twelve-piece, thirty-six-piece, six-piece, nine-piece, recommended, pepper-based, black, normal, chief, correct, one-month, successful, enough, consider, ===, sit, hold, make, popular, adult-oriented, take-out, drive-thru, eat, little, trademarked, patented, round, French, honorable, angry, libre-style, Other, ==, late, Miami-based, fictional, various, real-life, own, musical, punk-sounding, viral, four-song, national, Canadian, unable, enter, criminal, ====, lead, Sub-Sonic, digital-focused, online, start, forthcoming, simple, stable, monetary, traditional, multi-week, spread, meme, historical, personal, only, promotional, numerous, personalized, paste, standardized, respond, entire, digitally-based, eighteen-month, digital, firm, early, digital-media, digitally-oriented, sizable, annual, Championship, give, sandwich, co-branded, local, decide, particular, sell, feed, custom-designed, live, upcoming, corporate, one-word, @, become, jaws, perceived, overt, sexual, commercial, nice, last, public, double, clad, sported, request, appropriate, mask-wearing, blatant, appear, want, influence, purchase, desist, undisclosed, fictitious, general, wear, try, achieve, mask-like, near, identical, let, Tie-ins, include, mimic, humorous, Several, in-store, [, circle-R, ], British, wide, European, allow, direct"
11,Blue cheese dressing,"cheese, popular, blue, sour, garlic, salad, seasonings.Most, major, raw, ==, potential, Microbial, common, facultative, acid, survive, low, such"
12,Blue-plate special,"Blue-plate, special, blue, low-priced, common, few, blue-plate, vanishing, American, web, prose, daily, main, ==, unclear, separate, frozen, available, dictionary, inexpensive, similar, such, first, regular, late, Moderate, difficult, dine, get, big, purchasable, last, ten, Little, minor, look, talk, various, vegetable, polite, annoyed, explain, following, contemporary, be, full, whimsical, refined, ===, participatory-theater, good, monthly, free, award-winning, almost-daily, lunch-time, greasy, memorable, wish, work, final, second, amateur, Last, restaurant"
13,Bookbinder soup,"other, tomato-based, typical, such, snapping, several, different, take, make, prepare, s, Jewish, snapper, own, =="
14,Breakfast burrito,"American, flour, several, regional, neighboring, include, scrambled, bacon.Some, such, sell, ==, Mexican, have, original, late, fast, be, Canadian, other, similar"
15,Brunswick stew,"traditional, popular, local, small, unknown, German, ==, tomato-based, various, other, modern, smoky, Eastern, be, tomato, main, early, favor, primary, official, possible, find, same, unique, thick, chicken, dark, pulled, American, old, first, nearby, have, original, =="
16,Buffalo burger,"American, ==, sweet, unique, be, fresh, indistinguishable, buffalo, fat, heart-healthy, high, such, healthy, store, much, 85-gram, 3-ounce, same, simple, low"
17,Buffalo wing,"unbreaded, flat, deep-fried, vinegar-based, hot, blue, cheese, North, American, main, other, spiced, chicken, popcorn, such, Buffalo-style, ==, several, different, inexpensive, undesirable, soup.Several, unannounced, late-night, fast, easy, present, deep, do, Catholic, be, able, eat, spaghetti, unexpected, local, mention, uncut, own, special, good, specialize, same, offer, regular, ===, official, optional, national, next, create, use, buffalo, new, Indian, Other, unique, help, keep, grow, neater, boneless, small, similar, recent, actual, certain, times.In, many, competitive, eating, set, Many, extra-hot, commemorative, free, last, ===, mild, Commercial, varying, cooked, coat, Ranch, popular, sliced, whole, d'oeuvre, regional"
18,Bull roast,"entire, open, similar, pit, exclusive, particular, common, social, //www.bayweekly.com/year99/issue7_33/lead7_33.html, //smartmouthbrewing.com/event/bull-oyster-roast/https"
19,Burnt ends,"flavorful, smoked, lean, first, flat, deep, second, fat, triangular, superficial, traditional, burnt, entire, cooked, whole, Due, cook, tender, render, further, cooks, re-season, top, proper, display, modest, char, be, other, baked, French, portal"
20,Butter cookie,"butter, unleavened, due, necessary, chill, enable, proper, basic, such, pretzel-like, twisted, be, European, ==, Danish, notable, many, particular, industrial"
21,Cajun cuisine,"French, French-speaking, Acadian, British, be, rustic, available, simple, authentic, three-pot, main, steamed, special, seafood, third, plentiful, Crawfish, andouille, staple, aromatic, green, similar, traditional, Characteristic, include, cayenne, black, ==, le, extreme, unable, cook, original, former, culinary, other, become, classic, modern, 20th, elaborate, basic, :23, false, flavorful, true, same, individual, separate, have, :30, slow, low, Southern, indirect, dry, direct, shallow, solid, wide, hollow, narrow, flat, regular, finish, crawfish, seasoned, Deep, vegetable, small, popular, Pan-broiling, pan-frying, large, syringe-type, place, deep, common, oven-roasted, southern, such, historical, partial, ===, short, white, valuable, early, hot, humid, predominant, easy, grow, prepare, bread, many, due, mass-produced, once-common, recent, catfish, wild-caught, red, sweet, several, suit, pickled, olive, gumbo, dark, involved, complicated, flour, desired, nutty, high, burnt, dish, unpalatable, Light, secret, good, strong, overpower, perfect, light, unsuitable, support, orthodox, Cajun, shellfish, unique, Fish, local, and-a, ===, Primary, butcher, natural, better-known, side, spherical, Contrary, non-Cajun, Continental, mean, Native, American, western, principal, distinct, Many, Spanish, Italian, German, Irish, filé, dried, golden, well-browned, ahn-doo-wee, jambalaya, only, certain, else, find, optional, great, pre-Acadian, gravy, brown, pan, extra, extended, let, tough, Popular, chicken, celebratory, newspaper-draped, abundant, shrimp, prepared, suck, abdominal, unfamiliar, eat, dead, live, straight, limp, ====, rural, socialize, play, copious, :111, usable, need, :112, see, female, Rural, 18th, unwelcome, male, collect, festive, preferred, allow, chase, frozen, :113Once, Other, redfish, bell, sweet-dough, thick, stewed"
22,Calf's liver and bacon,"dish, popular, 20th, ==, such, French, American, classic, famous, simple, inexpensive, many, interested, appreciate, new, iron-rich, liver.For, signature, full-page, hearty, good, fuel, heavier, favorite, rendered, Many, be, imperative, hot, aux, copious, =="
23,Carolina style,"hot, classic, chili, fourth, ==, Pan-American"
24,Celery Victor,"historical, American, prepare, mild, portal"
25,Cheese dog,"cheese, hot, stuffed, ==, Cheese, such, American, other, Swiss, be, ==, plain, chili, ===, greasy, jumbo, deep-fried, toasted, consist, ingredient, corned, Russian, Seattle-style, popular, ===, Swiss-style, regional, bratwurst, stuffed, Seattle"
26,Cheese fries,"Cheese, cheesy, latter, fast-food, french, possible, various, other, lunch-, dinner-time, be, exact, grow, cheese, such, have, young, first, serve, ===, Localized, melted, ranch, carne, mega, Swiss, certain, brown, nacho, snack, stand-type, chili, either, American, own, local, taco, fresh, sub, common, French, grated, crumbled, fast, salad, large, garlic, dish, gravy"
27,Cheesesteak,"cheese, sandwich, long, popular, regional, ==, early, 20th, small, chopped, Italian, exact, hot, make, new, interested, focus, steak, own, many, family-run, common, several, fast, be, high-end, Many, ==, sliced, top, other, flat, half.Common, sautéed, ===, cheesesteak, soft, proper, grilled, good, only, agree, fresh, used, cheesesteak.White, American, due, mild, achieve, creamy, discriminating, real, available, original, nephew, processed, familiar, same, runner-up, ten, go, major, chicken, traditional, contain, vegan, such, soy-based, spicy, jalapeno"
28,Chicago-style pizza,"Chicago-style, prepared, several, different, famous, deep-dish, high, ample, large, be, stuffed, ==, Deep-dish, official, cultural, enough, determine, original, primary, other, deep, thick, entire, traditional, thin, medium, similar, typical, allow, easy, create, fried, ordinary, contain, yellowish, baking, burn, cheese, top, upside-down, usual, various, such, solid, patty-like, Other, uncooked, crushed, extra, uncut, become, soggy, frozen, continental, Italian, hard, see, high-sided, additional, small, lid, escape, explode, tomato, Thin-crust, thin-crust, firm, have, noticeable, York-style, tavern, popular, pepperoni, sausage, Great, Chicago-Style"
29,Chicken à la King,"'King-style, dish, diced, ==, Several, early, great, be, white, old, combine, red, green, delight-some, popular, middle, late, 20th"
30,Chicken and waffles,"American, culinary, certain, ==, common, be, such, many, past, popular, become, local, traditional, pulled, exact, unknown, several, origin, European, notable, early, fried, Such, other, due, catfish, limited, seasonal, 19th, attend, waffle, dish, African, eat, familiar, special-occasion, Other, post-Civil, Southern, appear, former, first, suggest, later, Popular, have, real, chicken-and-waffle, =="
31,Chicken Divan,"chicken, early, twentieth, French, great, prepared, regular, classic, American, quick, be, pre-cooked, potato, similar, funeral, ==, imply, attract, signature, exact, know, casserole, regional"
32,Chicken fingers,"chicken, minor, white, major, be, flesh.Chicken, deep, similar, common, original, operate, =="
33,Chicken French,"Italian-American, egg-dipped, sautéed, white, popular, be, Italian, veal, francese, expensive, such, dish, classical, common, chicken"
34,Chicken fried bacon,"bacon, deep, American, early, similar, ==, dish, be, comedian, hard, imagine, artery-clogging, south, recent, country-fried, white, prepared, vegetable, rich, saturated, low-fat, Other, low, nutritional, double-coated, fat, senior, Public, steak, Chocolate-covered"
35,Chicken fried steak,"be, American, cutlet, dish, seasoned, pan-fried, similar, fried, steak, Austrian, tenderized, Scottish, ==, precise, unclear, many, German, 19th, annual, veal, regional, late, chicken-fried, white, numerous, popular, official, thin, other, deep-fried, brown, replace, vegetable, useful, first, dredge, flour, let, sit, half, expensive, desirable, such, flank, chopped, common, serve, baked, deep, thick, traditional, peppered, ==, Other, subject, main, chicken, peppery, top, keep, chicken, center, buffalo"
36,Chicken nugget,"chicken, vegetable, oil.Some, vegetarian, Swedish, ==, unpatented, academic, bite, sized, deep, possible, form, able, hold, handle, frozen, desired, solve, first, make, be, ==, Nutritional, unhealthy, American, different, skeletal, fat, equal, Other, epithelial, nervous, connective, main, common, many, further, correct, automatic, solid, large, cylindrical, outside, specific, vary, true, popular, social, public, feature-length, grade, pre-pubescent, retweeted, take, free, wide"
37,Chicken parmigiana,"chicken, parmesan, Italian, dish, added.The, 20th, eggplant, different, ==, popular, Italian-American, frozen, chicken, other, pre-processed, make, main, Many, take, affordable, be, next, various, colloquial, ==, Similar, ===, underneath, olive, white, usual, similar, fried, french"
38,Chicken sandwich,"skinless, chicken, hot, chicken, ==, be, deep, cold, white, dark, Shredded, such, Open-faced, common, alternative, beef, similar, fried, grilled, ====, unsubstantiated, southern-style, steamed, likely, first, fast, Other, notable, major, casual, ===, Regional, popular, sandwich, au, green, staple, many, believe, have, own, poutine, other, small, working-class, North, American, early, Due, minimal, mid-1900s.This, previous, make, ===, primary, rural, shredded, call, multiple, crushed, help, thicken, bind, economize, covered, dish, tailgate, ==, Make, External"
39,Chili con carne,"chilli, /ˈtʃili, Other, include, garlic, personal, different, basic, frequent, other, Spanish, chili, dry, be, northern, southern, such, barbecued, working-class, famous, previous, inexpensive, chili-flavored, casual, Columbian, popularize, many, first, official, regular, ===, small, family-run, new, secret, due, commercial, late, 19th, Mexican, diner-style, Greek, own, culinary, vibrant, original, sweet, second, operate, chili-topped, Hodge-branded, ==, ===, early, 20th, long, enough, unauthentic, forbidden, marinate, Small, red, pink, common, black-eyed, great, navy, contain, prepared, Commercial, precooked, add, north, Two-Alarm, per, freshly, seal, open, eighteen, medical, wide, popular, diet, make, textured, vegetable, starchy, green, spicy, sauce, slow-cooked, habanero, white, turkey, breast, tomato-based, dish, diced, sour, saltine, tortilla, rolled-up, ==, Pre-made, particular, experienced, lean, local, major, canned, available, vegetarian, widespread, brick, solid, half-brick, rural, American, purchase, dry, cayenne, flavor, hot, chili, french, cheese, same, standard, military, single-serving, top, southwestern, legume, stews, archived, Tex-Mex, [, knowledgeable, well-written, real, ], Catholic, Much, ]"
40,Chili dog,"generic, hot, such, chili, other, multiple, regional, many, specific, unique, regionally, region-specific, ==, Regional, assorted, Greek, due, Western, numerous, longstanding, ===, southeastern, European-style, German, natural, sheep, heart-based, several, local, ===, traditional, small, thin, different, steamed, yellow, seasoned, refer, similar, coarsely-ground, half-pork, half-beef, ==, Brief, /, External"
41,Chimichanga,"Spanish, deep-fried, popular, other, prepared, flour, wide, dried, carne, marinated, rectangular, be, sour, ==, ongoing.The, changa, Mexican, Spanish, past, chinga, third-person, tense, rude, unexpected, small, deep-fat, utter, deep, original, main, retired, mid-1950s.Given, variant, have, third, local, dish, recent, typical, 183-gram, 6.5-ounce, cheese, total, fat, high, snobby, eat, extra, syllable, chimichangas, ==, tortilla-based"
42,Chips and dip,"dish, potato, bean, vegetable, pita, used, whole, sliced, raw, Various, accompany, various, significant, due, French, hold, ==, prepare, sour, create, be, new, similar, unique, several, bread, popular, annual, Eighty-five, corn-based, common, dip, late, chile, side, chili, tortilla, indifferent, other, perform, double, male, double-dip, consume, care, object, double-dipping, transfer, 50-100, prevent, much, few, major, free, interested, ==, main, funeral, celebrate, tray, US6152302, External"
43,Chocolate chip cookies,"traditional, brown, white, semi-sweet, add, other, additional, such, vegan, necessary, forth, chocolate, mixed, ==, popular, melt, thin, love, give, different, original, first, include, favorite, American, back, send, nationwide, hot, yellow, ===, Almost, baking-oriented, contain, commercial, own, ready-to-bake, national, sell, retail, Several, differentiate, third-grade, small, chopped, produce, chewy, consistent, wooden, electric, Next, leavening, be, wet, dry, titular, minimize, cookie, use, make, dependent, fat, likely, bind, available, cake-like, Common, Chocolate, baking, dish, Other, ==, recipe"
44,Choco pie,"snack, small, marshmallow, many, other, generic, similar, chocolate, ==, original, go, southern, local, popular, American, Second, confectionary, half, Korean, chocolate-coated, available, elderly, affordable, white, sell, spell, own, different, intellectual, responsible, become, choco, be, common, due, descriptive, banana-flavored, celebrate, 60th, first, gain, foreign, two-thirds, Chinese, third, outside, major, 'National, successful, North, capitalistic, favorite, resell, black, fetch, much, Between, nuclear, drove, five-month, give, South, launch, same, real, imagined, injured, lifetime"
45,Chowder,"prepared, broken, be, vegetable, such, accompany, chopped, mixed, small, Other, common, seafood, many, other, wide, fish, potato, cheese, Fish, popular, North, American, obscure, possible, French, first, li, walk, get, fat, much, shellfish, appear, have, similar, thick, coastal, sixteenth, describe, later, current, fish-based, 18th, British, fresh, excellent, palatable, English, baked, dictionary, ==, shipboard, delicious, used, simple, prepare.In, stew, early, basic, hard, sophisticated, attractive, regional, favorite, powerful, define, rich, deep, long, visceral, recipe, famous, sixteenths-inch, same, different, red, Vegetable, late, ==, sweet, cream-style, use, thicken, clam, Irish, soda, crayfish, light, crunchy, broad, salami, winter, ===, national, primary, black, ===, broth-style, Several, diverse, styles.Clam, steamed, integral, pipi, indigenous, strong, historical, unheard, Australian, Additional, frozen, clam, include, Southern, downtown, main, lima, green, squirrel, hearty, burgoo, various, broth-, ready-prepared, unique, haddock, plain, milk, preserved, homemade, traditional, available, Commercial, Further, 0-690-23602-6, Chowderhead, 0-88107-219-2, External"
46,City chicken,"entrée, wooden, be, ==, similar, first, prior, few, such, working-class, many, rural, grind, use, drumstick-shaped, form, popular, central, eastern, northeastern, south, west, metropolitan, urban, deli-counter, Pittsburgh-area, deep, Canadian, steak"
47,Clam cake,"be, deep, fried, ball-shaped, various, other, give, firm, clam, donut, golden, first, Tiny, nestle, surprising, little, Clam, popular, legal, limited, private, dig, own, spoil, take-out, informal, several, french, cole, dry, ==, 2018-03-09"
48,Clam chowder,"several, clams, common, Other, small, be, relative, saltine, hexagonal, American, Many, regional, white, red, ==, earliest-established, popular, clam, British, 18th, first, outlaw, Primary, 20th, many, other, own, local, traditional, pre-fried, salt, quahog, early, mid-20th, likely, recent, clear, copious, and/or, black, chopped, green, hot, ===, creamy, geographical, ===, tomato-based, Portuguese, spicy, secret, Spanish, comparable, datil, have, Menorcan, thrive, grow, cream-based, thin, late, condensed, accompany, primary, chowder, light, contain, memorable, long-established, secondary, south, eastern, southwestern, southwestern, colloquial, ==, unique, fall, specific, sourdough, smoked, similar, Fish, clam, fish, such"
49,Club sandwich,"cooked, fried, Modern, additional, ==, have, early, Several, other, be, exclusive, late, 19th, make, -The, p., common, white, standard, traditional, bacon, cheese, Vegetarian, real, vegetarian, honey, Upscale, garnish, primary, french, potato, high, unhealthy, sandwich"
50,Coleslaw,"Dutch, cole, salad, finely-shredded, raw, benefit, long, ==, 18th, Sensible, thin, melted, prepared, young, mid-18th, only, consistent, vary, sour, possible, many, international, contain, mayonnaise, be, light, crunchy, nonfat, Greek, such, fried, French, sandwich, hot, vinegar-based, differentiate, low, glycemic, cabbage, rich, other, red, mixed, come, minced, small, Other, broccoli, shredded, popular, southern, ===, Traditional, ===, cooked, julienne, capricious, cabbage-based, resemble, second, next, meat, fixed, typical, white, Chinese, uncommon, chopped, black, rapeseed, mayonnaise-based, alternative, get, rid, excess, simple, Polish, surowy, English, mayonnaise-dressed, fresh, unrefined, Russian, капуста, kapusta, similar, particular, acetic, vinegar, vegetable, pizza, notable, American, cheese, dried, regional, common, prevailing, North, African, add, sweet-tart, garlic, olive, West, palm, dictionary"
51,Cordon bleu (dish),"schnitzel, cheese, pan-fried, deep-fried, thin, pan, ham, ==, French, blue, wide, du, high, outstanding, chicken, similar, many, popular, prepare, chicken, butterfly, cut, soft, such, deep, Other, common, cachopo, san, Muslim-populated, halal"
52,Corn chowder,"primary, Basic, Additional, fish, mass-produced, thick, cream-based, similar, Fresh, frozen, be, prepare, additional, aid, salt, thickener.Corn, fresh, serve, thicken, Various, basic, vegetarian, clam, ==, canned, various, many, utilized, eggs.Around, early, well-known, general, simple, such"
53,Corn dog,"hot, thick, deep, American, ==, German, make, have, US, Combined, other, such, vegetable, resultant, clean, wholesome, tasty, wholesale, 'korn, current, first, serve, known, high, third, local, upcoming, hold, wax, fast, fry, pre-made, frozen, be, Pre-made, lack, prepared, cheese-filled, bratwurst, different, turkey.Small, multiple, served, drive-in, vegetarian, meatless, many, same, heavy, pedestrian, popular, inner, waffle-like, cheese, accompany, South, low-price, certain, wheat-based, corn-based, Australian, saveloy, flour-based, fish, contain, battered, ordinary, yellow, ballpark, trademarked, available, main, ====, cornmeal, normal, important, originate, Korean, genuine, French, fry-encrusted, Western, vegan, Annual"
54,Corn flakes,"be, healthy, popular, produce, previous, make, rival, experiment, various, different, manufacture, successful, many, generic, crushed, bread, cooked, ==, packaged, small, cold, original, successive, additional, such, nut, significant, late, 19th, Seventh-day, develop, new, adhere, vegetarian, strict, graham, sweet, increase, sit, stale, continue, process, obtain, long, Flaked, reduce, excessive, sexual, other, try, mass-market, palatable, same, free, special, available, expand, next, great, first, green, early, speak, stylized, pronounced, similar, ==, Similar, former, create, major, Australian, own, Many, have, wide, patty, variant, chocolate, dark, golden, maize"
55,Corn relish,"traditional, cooked, whole, red, green, equal, garnish, side, meat-and-potatoes, ham"
56,Corned beef,"salt-cured, large-grained, corned, many, natural, nitrosomyoglobin, pink, reduce, dangerous, be, gray, popular, fresh, ==, exact, corned, unknown, likely, apparent, numerous, ancient, describe, small, hard, refer, granular, cure, preserve, ===, 19th-century, industrial, British, 17th, mid-19th, civilian, naval, North, American, due, nonperishable, French, 17th-century, distinguish, different, tough, undesirable, such, former, latter, Much, significant, local, Iberian, southwestern, Coastal, vast, annual, great, colonial, satisfy, industrialised, pasture, much, extended, raise, hungry, devastating, impoverished, disenfranchised, farm, marginal, favorable, native, dependent, major, little, salted, prohibitive, wealthy, Anglo-Irish, absentee, poor, true, consume, certain, notable, traditional, Irish, 20th, present, important, canned, Second, global, Cultural, considerable, 18th-century, ethnic, bacon, immigrant, have, available, similar, Jewish, close, everyday, main, 19th-, 20th-century, standard, military, instant, round, silverside, seasoned, ready, eat, key, grilled, Swiss, Russian, smoked, minced, staple, long, recent, poutine, ====, national, Irish-American, late, 19th, ===, 12th, purge, eaten, able, provide, work, rare, valued, Israeli, universal, force-feeding, corrupt, short, Palestine, polynesian, pacific, Western, common, fit, other, 'Western, cheap, localized"
